transaction_id,amount,age,is_international,merchant_cat,hour,device_change,fraud,age_group,fraud_percent_by_hour
1,1873.326054117965,68,0,11,20,0,0,65+,0.5628415300546448
2,4753.620817743171,57,1,3,13,1,1,55-64,0.5024390243902439
3,3660.237715115214,24,0,6,15,1,1,18-24,0.484
4,2993.693762500986,49,0,2,5,1,0,45-54,0.47297297297297297
5,780.9371835717402,65,1,14,7,0,0,65+,0.5128205128205128
6,780.816607160677,36,0,9,1,1,0,35-44,0.48148148148148145
7,291.3599772288291,23,0,18,18,0,1,18-24,0.5051546391752577
8,4331.0145527289005,37,1,19,8,1,1,35-44,0.48223350253807107
9,3005.973943704301,44,0,12,4,1,1,35-44,0.4744897959183674
10,3540.6548164024316,70,0,13,4,1,1,65+,0.4744897959183674
11,103.90188698471643,60,0,12,18,1,0,55-64,0.5051546391752577
12,4849.57935095781,54,1,12,3,0,0,45-54,0.49056603773584906
13,4162.380761361308,65,1,18,15,0,0,65+,0.484
14,1062.4832142807024,24,1,9,15,0,1,18-24,0.484
15,909.943011068296,22,1,17,15,1,0,18-24,0.484
16,917.8391447573157,28,1,16,6,0,0,25-34,0.5069124423963134
17,1521.906972554729,32,0,17,17,0,1,25-34,0.5186915887850467
18,2624.257401729557,20,0,8,23,0,0,18-24,0.46733668341708545
19,2160.293148191937,22,1,11,20,1,1,18-24,0.5628415300546448
20,1456.8544718500116,40,0,2,0,0,1,35-44,0.45161290322580644
21,3059.652620717175,70,0,8,2,1,0,65+,0.5194174757281553
22,698.3298093995571,54,0,12,20,1,0,45-54,0.5628415300546448
23,1461.4310980275557,26,0,1,7,0,1,25-34,0.5128205128205128
24,1832.4428546251647,32,1,13,0,0,0,25-34,0.45161290322580644
25,2280.893851100963,20,1,17,6,1,0,18-24,0.5069124423963134
26,3926.094631003675,46,0,14,6,1,1,45-54,0.5069124423963134
27,999.1692370096404,23,0,14,7,1,0,18-24,0.5128205128205128
28,2571.6579576296444,34,1,16,18,0,1,25-34,0.5051546391752577
29,2962.4804297413502,43,0,17,16,1,1,35-44,0.4928909952606635
30,233.20561318726863,38,0,6,10,1,1,35-44,0.5252525252525253
31,3038.1167146552903,25,0,7,14,1,1,25-34,0.5024875621890548
32,853.4500943127704,38,1,1,8,0,0,35-44,0.48223350253807107
33,326.1929133334123,74,1,15,16,1,0,65+,0.4928909952606635
34,4744.478800729413,28,0,18,10,1,0,25-34,0.5252525252525253
35,4828.1945333397225,55,0,13,5,1,1,55-64,0.47297297297297297
36,4042.178343234189,25,0,2,8,1,0,25-34,0.48223350253807107
37,1523.76423209768,59,0,19,17,1,1,55-64,0.5186915887850467
38,489.262897917913,41,0,15,19,0,1,35-44,0.49038461538461536
39,3421.4808995342723,52,0,12,1,0,0,45-54,0.48148148148148145
40,2201.322316204267,72,1,15,3,1,0,65+,0.49056603773584906
41,611.0691359890493,31,1,18,17,1,1,25-34,0.5186915887850467
42,2476.3893736462396,72,0,14,0,1,1,65+,0.45161290322580644
43,172.90821705497677,31,1,6,10,1,1,25-34,0.5252525252525253
44,4546.692689991832,27,0,12,2,1,1,25-34,0.5194174757281553
45,1294.6411280184846,29,0,6,7,1,0,25-34,0.5128205128205128
